Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
Kakurasu;n.d.;Puzzle;Grid-based puzzle game. The sum is noted below and the value depends on the positions of the field. ;-;-;Japanese;Logic | Arithmetic;Yes;All;https://www.puzzle-kakurasu.com/
Kakuro;n.d.;Puzzle;Grid-based puzzle game. Combination of maths and sudoku ;-;-;Japanese;Logic;Some;All;https://www.kakuros.com/
Kengurukonkurransen;2005–;Competition;Årlig internasjonal matematikkonkurranse for elever fra 4.-10. trinn. Konkurransen passer for alle og oppgavene er en lett blanding mellom lette, middels og vanskelige oppgaver. Dette er rett og slett en fin mulighet til å motivere og inspirere flere til å utforske matematikk! Oppgavene fra Kengurukonkurransen kan brukes i undervisningen på ulike måter, og er spesielt egnet for problemløsing, samarbeid og diskusjon. ;-;Matematikksenteret;Norwegian;Misc.;Yes;4–10;https://www.matematikksenteret.no/l%C3%A6ringsressurser-og-undervisningsopplegg/kenguru/kenguruoppgaver-oppgavebank
KenKen;2004;Puzzle;Puzzle based on the four aritthmetic operations;Tetsuya Miyamoto;-;-;Arithmetics;Yes;All;http://www.kenkenpuzzle.com/about/what
Killer Sudoku;n.d.;Puzzle;Similar to Sudoku, but in addition, the squares must add up to a given sum.;-;-;Japanese;Logic | Arithmetic;Yes;All;https://www.puzzle-killer-sudoku.com/
Königsberg ;n.d.;Puzzle;A puzzle game that involves connecting all the dots in a field without visiting the same dot more than once. ;Leonard Euler;-;-;Programming;Yes;All;https://www.jrmf.org/activities/konigsberg
Landslaget for matematikk i skolen (LAMIS);1997–;Organisation;The National Association for Mathematics in Schools (LAMIS) is an interest group for everyone who teaches mathematics – from kindergarten to college and university.;?;-;Norwegian;Misc.;;Professional mathematicians;https://lamis.no/
Love Triangle: How Trigonometry Shapes the World;2024;Book;In Love Triangle, Matt Parker argues we should all show a lot more love for triangles, along with all the useful trigonometry and geometry they enable. To prove his point, he uses triangles to create his own digital avatar, survive a harrowing motorcycle ride, cut a sandwich, fall in love, measure tall buildings in a few awkward bounds, and make some unusual art. Along the way, he tells extraordinary and entertaining stories of the mathematicians, engineers, and philosophers—starting with Pythagoras—who dared to take triangles seriously.;Matt Parker;Riverhead Books;English;Geometry | Trigonometry;;;
Loving and Hating Mathematics: Challenging the Myths of Mathematical Life;2010;Book;"Mathematics is often thought of as the coldest expression of pure reason. But few subjects provoke hotter emotions―and inspire more love and hatred―than mathematics. And although math is frequently idealized as floating above the messiness of human life, its story is nothing if not human; often, it is all too human. Loving and Hating Mathematics is about the hidden human, emotional, and social forces that shape mathematics and affect the experiences of students and mathematicians. Written in a lively, accessible style, and filled with gripping stories and anecdotes, Loving and Hating Mathematics brings home the intense pleasures and pains of mathematical life.";Reuben Hersh | Vera John-Steiner;Princeton University Press;English | Spanish;Mathematics in everyday life | Emotions;Yes;8–13;https://www.goodreads.com/book/show/8674187-loving-and-hating-mathematics
Lyngbø og Herlands Big Bang;2010;TV show;"""Et populærvitenskaplig underholdningprogram med fast ekspertpanel. Komikerduoen Dagfinn Lyngbø og Anne-Kat. Hærland stiller spørsmålene de alltid har ønsket å få svar på. Det er de små spørsmålene om de store temaene."" ~NRK";Dagfinn Lyngbø | Anne-Kat Herland;Rubicon TV;Norwegian;Misc.;Little;All;https://tv.nrk.no/serie/lyngboe-og-haerlands-big-bang/sesong/1 
