Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
Nrich;2021;Website;Curriculum-linked resources for students aged 3-18, designed to nurture curious, resourceful and confident learners of school mathematics.;-;University of Cambridge ;English;Misc.;Yes;All;https://nrich.maths.org/
NRK Skole;n.d.;Video;Videoklipp med utgangspunkt i det norske læreplanverket;Thor Gjermund Eriksen;NRK;Norwegian;Misc.;Yes;All;https://www.nrk.no/skole/?page=objectives&subject=matematikk&learningProgramme=LK20
NRK Viten;n.d.;News outlet;Populærvitenskapelige artikler ;Thor Gjermund Eriksen;NRK;Norwegian;Misc.;Little;All;https://www.nrk.no/viten/
Numberphile;2011–;YouTube;YouTube channel featuring videos that explore topics from a variety of fields of mathematics.;Brady Haran;-;English;Misc.;Yes;8–10;https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A
Numberplay;2009–2016;Paper column;On the NY Times website, Numberplay generally presents mathematical and/or logical puzzles and problems.;Gary Antonick;New York Times ;English;Misc.;Yes;5–13;https://wordplay.blogs.nytimes.com/ category/Numberplay
Numbers;2005–2010;TV show;American crime drama television series that originally aired on CBS from January 23, 2005, to March 12, 2010, with a total of six seasons consisting of 118 episodes. The series was created by Nicolas Falacci and Cheryl Heuton, and follows FBI Special Agent Don Eppes (Rob Morrow) and his brother Charlie Eppes (David Krumholtz), a college mathematics professor and prodigy, who helps Don solve crimes for the FBI.  ~Wikipedia;Nicolas Falacci | Cheryl Heuton;CBS;English;Crime;Yes;11–13;
Numbers Don't Lie: 71 things about the world you probably didn't know;2020;Book;Professor Vaclav Smil takes us on a fact-finding adventure, using surprising statistics and illuminating graphs to challenge lazy thinking. Smil is on a mission to make facts matter, because after all, numbers may not lie, but which truth do they convey? ~Norli;Vaclav Smil;Viking;English | Spanish | Portuguese | Italian;Mathematics in everyday life;;;https://www.haugenbok.no/numbers-dont-lie/smil-vaclav/9780241989692
Nurikabe;–;Puzzle;"Grid-based puzzle game. Hvite felter skal danne ""øyer"", svarte felter skal danne ""elver""";-;-;Japanese;Logic;Some;All;https://www.puzzle-nurikabe.com/
Nært - sært - spektakulært: 63 naturfaglige triks og eksperimenter;2010;Book;"""Boka inneholder 63 engasjerende og underholdende eksperimenter med ting du har i huset. La deg overraske, og overrask andre. Eksperimentene kan gjøres alene, men sammen med andre blir det dobbelt så gøy. Da har du også noen å skylde på hvis det går galt. Lykke til!"" ~Goodreads ";Andreas Wahl;Gyldendal Norsk Forlag AS;Norwegian;Misc.;Little;All;https://www.goodreads.com/book/show/17935015-n-rt---s-rt---spektakul-rt
Œuvres completes de Niels Henrik Abel;1881;Book;Volume I contains papers which had been published by Abel, most of them in Journal für die reine und angewandte Mathematik (Crelle’s Journal). Volume II contains papers found after Abel’s death and passages on the subject of mathematics that had been excerpted from his letters. The 1881 edition was composed of a print-run of 2000. The remaining 200 copies of the 1881 edition are in the possession of the Norwegian Mathematical Society. To commemorate the 200th anniversary of Abel’s birth, these have now been leather-bound in one volume, and numbered.;Niels Henrik Abel;Norsk matematisk forening;French;Algebra;Yes;Professional Mathematicians;
Omnigeometry;2017;Software;Software for drawing geometric patterns.;Sakari Lehtonen;-;English;Geometry;Yes;All;https://omnigeometry.com/
On the Edge: The Art of Risking Everything;2024;Book;These professional risk-takers—poker players and hedge fund managers, crypto true believers and blue-chip art collectors—can teach us much about navigating the uncertainty of the twenty-first century. By immersing himself in the worlds of Doyle Brunson, Peter Thiel, Sam Bankman-Fried, Sam Altman, and many others, Silver offers insight into a range of issues that affect us all, from the frontiers of finance to the future of AI.;Nate Silver;Penguin Press;English;Probability | Risk;;;
Paradoxes: Guiding Forces in Mathematical Exploration;2020;Book;Stories about interesting mathematical paradoxes;Hamza E. Alsamraee;Curious Math Publications;English;Logic | Paradoxes;Yes;10–13;https://www.amazon.com/Paradoxes-Guiding-Forces-Mathematical-Exploration/dp/1735715611/ref=pd_vtp_1/138-7495430-0684424?pd_rd_w=RZeZ3&pf_rd_p=016e3697-91be-4dc2-9533-ef9350e7e73d&pf_rd_r=TEHYYQENX71Y81FZS66N&pd_rd_r=139621eb-b1b9-47c5-b303-0cd1bca1534b&pd_rd_wg=awKL3&pd_rd_i=1735715611&psc=1
Patterns in Nature: Why the Natural World Looks the Way It Does;2016;Book;The acclaimed science writer “curates a visually striking, riotously colorful photographic display…of physical patterns in the natural world” (Publishers Weekly, starred review).;Philip Ball;University of Chicago Press;English;Mathematics in everyday life;;;
PHILOMATH: The Geometric Unification of Science & Art Through Number;2021;Book;In this book, the authors try to bridge the virtual gaps that plagued the scientific process by utilizing the most fundamental branches of mathematics. Through the unification of numbers and geometry, they will strip disciplines like physics and the fundamental constants, music, geometry, prime number theory, as well as enigmatic concepts like the wave-particle duality, down to their quintessential essences, showing them all to be interconnected, emerging from few basic and simple geo-numerical laws that underlie the entire fabric of space and time.;Robert Edward Grant | Talal Ghannam ;Independently published;English;Philosophy of Mathematics;;;
Phutball;1982;Board game;Abbreviation for philosophical football. Reminiscent of a mixture of Battleships and Chinese checkers.;Elwyn R. Berlekamp | John H. Conway | Richard K. Guy;;-;Logic;Some;All;http://www.iggamecenter.com/info/en/phutball.html
Pillow Problems;1893;Book;"A part of the Curiosa Mathematics series. Bound in ""Mathematical Recreations of Lewis Carroll Volume Two"" ";Charles Lutwidge Dodgson | Lewis Carrol;Dover Publications Inc. (1958 ed.);English;Puzzles;;;https://www.goodreads.com/book/show/149727181-pillow-problems-and-a-tangled-tale-mathematical-recreations-of-lewis-car
Pipes;n.d.;Puzzle;Pipes on a grid must be connected together;-;-;-;Logic;Little;All;https://www.puzzle-pipes.com/
Plus Magazine;1997 – 2021;News outlet;Popular mathematics online newspaper;Marianne Freiberger | Rachael Thomas;University of Western Australia;English;Misc.;Yes;5–13;https://plus.maths.org
Popmath;2021;Calendar;Updates on math outreach events in Europe;-;IMAGINARY;English;Misc.;;All;https://www.popmath.eu/
Prime Obsession: Bernhard Riemann and the Greatest Unsolved Problem in Mathematics;2003;Book;Biography of the Riemann Hypothesis;John Derbyshire;Joseph Henry Press;English;Number Theory | Primes;Yes;10–13;https://www.amazon.com/dp/0452285259?ref=exp_daily_math__dp_vv_d
Probably Overthinking It: How to Use Data to Answer Questions, Avoid Statistical Traps, and Make Better Decisions;2023;Book;An essential guide to the ways data can improve decision making.;Allen B. Downey;University of Chicago Press;English;Probabiility | Decision-making;;;
Proessor Layton;n.d.;Game;Series of games with logic puzzles on Nintendo DS;Akira Tago;Level-5;English;Logic;Little;All;https://www.laytonseries.com/unwoundfuture/
Project Euler;n.d.;Website;Project Euler exists to encourage, challenge, and develop the skills and enjoyment of anyone with an interest in the fascinating world of mathematics;-;Project Euler;English;Programming;Yes;5–13;https://projecteuler.net/about
Proof: The Art and Science of Certainty;2025;Book;Spanning mathematics, science, politics, philosophy, and economics, this book offers the ultimate exploration of how we can find our way to proof—and, just as importantly, of how to go forward when supposed facts falter.  ;Adam Kucharski;Basic Books;English;Proof;;;
Proofs: A Long-Form Mathematics Textbook;2021;Book;Humorous approach to mathematical proofs;Jay Cummings;Eget forlag;English;Proof;Yes;8–13;https://www.amazon.com/Proofs-Long-Form-Mathematics-Textbook-Math/dp/B08T8JCVF1
Puzzle Museum;1886–;Museum;Huge collection of various century-old puzzles ;James Dalgety;The Puzzle Museum;English;Logic;Some;All;https://www.puzzlemuseum.com/index.html
På sporet av den tøyde tid ;2015;Podcast;11-episoders podkast om Albert Einstein;Torkild Jemterud | Øyvind Grøn;NRK;Norwegian;Physics;;All;https://radio.nrk.no/podkast/einstein__paa_sporet_av_den_toeyde_tid/l_f8762b3a-f231-4a1e-b62b-3af2312a1e23
Quantum Computing for Everyone;2019;Book;Quantum computing incorporates some of the most stunning ideas from 20th-century physics into an entirely new way of thinking about computation. Here,Chris Bernhardt offers an introduction to quantum computing that is accessible to anyone comfortable with high school mathematics.;Chris Bernhardt;MIT Press;English;Computer Science | Quantum physics;;;
Quantum Mechanics: The Theoretical Minimum;2014;Book;Explanation of the wondrous world of quantum mechanics ;Leonard Susskind | Art Friedman;Basic Books;English;Physics | Quantum Physics;Yes;10–13;https://www.amazon.com/dp/0465062903?ref=exp_daily_math__dp_vv_d
Rett dose;2023;Game;Dataspill på nett hvor man kan trene på medikamentregning;Beate V. Kittelsen | Eva Cathrine Backer;IKT Vest;Norwegian;Arithmetics;Yes;High school;https://rettdose.no/
Rockamani;2021–;Music;Sanger om gangetabellen;Vidar Løvstad;;Norwegian;Multiplication;Yes;1–7;https://www.youtube.com/playlist?list=PLC1OL3k1R1Y79Ub-3GAv3HQC3bHooZTyO
Roger Antonsen;2021;Art;Matematikkformidling;Roger Antonsen;Universitet I Oslo;Norwegian;Misc.;Yes;All;https://www.rogerantonsen.com/?utm_source=google&utm_medium=cpc&utm_term=roger%20antonsen&gclid=Cj0KCQiAtJeNBhCVARIsANJUJ2HB8WB9i1iwiALRDvelEeyB0PSlaK0a5ehMt-ngaDmg1XiyJ6pcgL8aAmA2EALw_wcB
Rubik's cube;1974–;Puzzle;Cube with six different colors. The cube must be rotated so that all sides have the same colors. ;Ernõ Rubik;Rubik's Brand Ltd.;-;Logic | Combinatorics;Yes;All;https://www.rubiks.com/en-us
Sam Loyd and His Puzzles;1928;Book;An Autobiographical Review: Solutions for puzzles in the back of the book. Includes: • The 14-15 Puzzle • The 31 Puzzle Game • Pigs in Clover • How Old Is Ann? • Get Off the Earth Puzzle • The Three Houses and Three Wells • The Dial Puzzle • The Five Brick Puzzle • The Cleveland Puzzle Riot • The Hunter and the Squirrel • The Used Car Puzzle • Puzzle Making • People Who Like Puzzles • Why Children Love Puzzles • How Puzzles Started and Developed • Pythagorean Puzzles • Greek Cross Puzzles • The Trapezoid Puzzle • Magic Squares • Puzzles on the Chessboard • Points and Lines Puzzles • Puzzles in Weights and Measures • Varied Collection of Sam Loyd’s Puzzles. Samuel Loyd (January 30, 1841 – April 10, 1911), born in Philadelphia and raised in New York, was an American chess player, chess composer, puzzle author, and recreational mathematician;Sam Loyd;Barse & Co., NY & Newark;English;Puzzles;Yes;;https://www.amazon.com/Sam-Loyd-his-puzzles-autobiographical/dp/B000K5ORDG
Saturday Morning Breakfast Cereal ;2002;Comic strip;Comic strip with academic punch lines. The author has a background in physics, which influences the humour. ;Zach Wienersmith;smbc;English;Misc.;Little;All;https://www.smbc-comics.com/
Scale: The Universal Laws of Life, Growth, and Death in Organisms, Cities, and Companies;2017;Book;From one of the most influential scientists of our time, a dazzling exploration of the hidden laws that govern the life cycle of everything from plants and animals to the cities we live in.;Geoffrey B. West;Penguin Press;English;Physics | Complex systems;;;
Schrødingers Katt;1990–2016;TV show;"Populærvitenskapelig TV-serie på NRK1. Noen episoder har handlet om fysikk: Ampere: https://tv.nrk.no/serie/schrodingers-katt/2015/DMPV73002015/avspiller 
Volt: https://tv.nrk.no/serie/schrodingers-katt/2015/DMPV73001915/avspiller 
Newton: https://tv.nrk.no/serie/schrodingers-katt/2015/DMPV73001815/avspiller 
Gamification: https://tv.nrk.no/serie/schrodingers-katt/2014/DMPV73001014/avspiller ";Sigird Gjellan (ed.) ;NRK;Norwegian;Physics;Little;All;https://tv.nrk.no/serie/schrodingers-katt/2016/DMPV73000816/avspiller
Science Addiction;2020;Organisation;Communications agency focusing on science communication  ;Jo Røislien | Christian Holm-Glad;-;Norwegian;Communication;;All;https://www.kreativtforum.no/artikler/nyheter/skal-forske-pa-vitenskapsformidling-i-krisetid
Seven brief lessons on physics;2014;Book;These seven short lessons guide us, with simplicity and clarity, through the scientific revolution that shook physics in the twentieth century and still continues to shake us today. In this mind-bending overview of modern physics, Carlo Rovelli explains Einstein''s theory of general relativity, quantum mechanics, black holes, the complex architecture of the universe, elementary particles, gravity, and the nature of the mind.;Carlo Rovelli;Spartacus;English | Italian | Norwegian;Physics;Some;8–13;https://www.ark.no/boker/Carlo-Rovelli-Syv-korte-leksjoner-i-fysikk-9788243010550
Shakashaka;n.d.;Puzzle;Grid-based puzzle game. Triangles should be placed in a grid so that they match with different numbers inside the squares.;-;Nikoli Inc. ;Japanese;Logic | Geometry;Some;All;https://www.puzzle-shakashaka.com/
Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and Everything Else;2021;Book;Book about the hidden geometry in everyday life;Jordan Ellenberg;Penguin Press;English;Geometry;Yes;8–13;https://www.amazon.com/Shape-Geometry-Information-Democracy-Everything/dp/1984879057/ref=pd_vtp_3/138-7495430-0684424?pd_rd_w=RZeZ3&pf_rd_p=016e3697-91be-4dc2-9533-ef9350e7e73d&pf_rd_r=TEHYYQENX71Y81FZS66N&pd_rd_r=139621eb-b1b9-47c5-b303-0cd1bca1534b&pd_rd_wg=awKL3&pd_rd_i=1984879057&psc=1
Shikaku;n.d.;Puzzle;Grid-based puzzle game. Rectangles must enclose numbers inside the board.;-;Nikoli Inc. ;Japanese;Logic;Some;All;https://www.puzzle-shikaku.com/
Shingoki;n.d.;Puzzle;Grid-based puzzle game. Numbers must be linked together under certain conditions. ;-;Nikoli Inc. ;Japanese;Logic;Little;All;https://www.puzzle-shingoki.com/
Siffer;2011;Book;Samling av anektoder om matematiske oppdagelser;Jo Røislien | Magnus Nome;Versal Forlag;Norwegian;Misc.;Yes;All;https://en.wikipedia.org/wiki/Minecraft
Siffer;2011;TV show;Populærvitenskapelig TV-serie på NRK1 ;Jo Røislien;TeddyTV / NRK;Norwegian;Misc.;Yes;All;https://tv.nrk.no/serie/siffer 
Singing Banana;2006–;YouTube;YouTube-channel hosted by British mathematics tutor, James Grime;James Grime;-;English;Game theory | Number theory;;All;https://www.youtube.com/singingbanana
Sketchometry;2013–;Software;Sketchometry is a different kind of dynamic math software. It converts your sketches into precise constructions that you can modify and move.;-;University of Bayreuth;English | German;Geometry;Yes;All;https://start.sketchometry.org/
Skillshare;2010;Video;Video-based learning resources in STEM and other fields.;Michael Karnjanaprakorn | Malcolm Ong;Skillshare Inc. ;English;Misc.;Yes;10–13;https://www.skillshare.com/browse/mathematics
Skyscrapers;n.d.;Puzzle;Puslepill. Spilleren ser brettet fra et fugleperspektiv. Tallene skal matche høyden til skyskraperne på brettet. ;-;-;-;Logic;Little;All;https://www.puzzle-skyscrapers.com/
Skyvespill;1880;Puzzle;"Traditional puzzle game. The player must move pieces within a frame to form a picture. Available in several variants, e.g. Klotski; Minus Cube; Rush Hour and Sokoban.";Noyes Chapman;-;-;Logic;Some;All;https://www.helpfulgames.com/subjects/brain-training/sliding-puzzle.html
Sliding Piece Puzzles;1987;Book;Den definitive guiden over tradisjonelle skyvespill med utfyllende oversikt over et stort antall forskjellige varianter. ;Edward Hordern | L.E. Hordern;Oxford University Press;English;Puzzles | Logic;Some;8–13;https://www.amazon.com/gp/product/0198532040/ref=dbs_a_def_rwt_hsch_vapi_taft_p1_i0
Slither Link;–;Puzzle;Grid-based game. The player must create a continuous chain that goes around the numbers a certain number of times. ;-;-;-;Logic;Little;All;https://www.puzzle-loop.com/
Smartere med Selda! - matte 3.-4. trinn;2019;Book;Matematikkhefte med morsomme, vanskeligere oppgaver;Selda Ekiz;Victoria;Norwegian;Misc.;Yes;3–4;https://www.ark.no/boker/Selda-Ekiz-Smartere-med-Selda-9788283740806?gclid=Cj0KCQiAhf2MBhDNARIsAKXU5GQswuSPIJUHejKUJ8B0OHt-Aw-oPBdJvJWVxhu5MAzkq1cf6rCX7D8aAmwwEALw_wcB&gclsrc=aw.ds#product-description
Smartere med Selda! - matte 5.-7. trinn;2019;Book;Matematikkhefte med morsomme, vanskeligere oppgaver;Selda Ekiz;Victoria;Norwegian;Misc.;Yes;5–7;https://www.ark.no/boker/Selda-Ekiz-Smartere-med-Selda-9788283740875?gclid=Cj0KCQiAzfuNBhCGARIsAD1nu-_QFTPW9pxAMI-yUWI2E_yeB3ReoR52dmBzhOu-vuMeA4UIYZehHFsaAnowEALw_wcB&gclsrc=aw.ds
Smartere på 10 minutter;2020–;Podcast;Vitenskapelige anektoder;Selda Ekiz;NRK;Norwegian;Misc.;Some;All;https://radio.nrk.no/podkast/smartere_paa_10_minutter 
Somakube;1936;Puzzle;3D puzzle with 7 wooden pieces that together form a cube ;Piet Hein;SOMA;English;Logic | Geometry;Yes;All;https://www.youtube.com/watch?v=uaK5vSUQSQw
Something Deeply Hidden: Quantum worlds and the emergence of spacetime;2019;Book;‘An authoritative and beautifully written account of the quest to understand quantum theory and the origin of space and time.’ -Professor Brian Cox;Carrol Sean;Dutton;English;Physics | Quantum Physics;Yes;Adults;https://www.goodreads.com/book/show/44065062-something-deeply-hidden?from_search=true&from_srp=true&qid=VoHJulwJW9&rank=1
Spaceland (novel);2002;Book;In a tribute to Edwin Abbott's Flatland, a classic mathematical fantasy about a 2-dimensional being (A. Square) who receives a surprise visit from a higher-dimensional sphere, Rudy Rucker's Spaceland describes the life of Joe Cube, an average, modern-day Silicon Valley hotshot who one day discovers the fourth dimension from an unexpected visitation.;Rudy Bucker;Tor Books;English;Geometry;Yes;All;
Special Relativity and Classical Field Theory: The Theoretical Minimum;2017;Book;Physicist Leonard Susskind and data engineer Art Friedman are back. This time, they introduce readers to Einstein's special relativity and Maxwell's classical field theory. Using their typical brand of real math, enlightening drawings, and humor, Susskind and Friedman walk us through the complexities of waves, forces, and particles by exploring special relativity and electromagnetism. It's a must-read for both devotees of the series and any armchair physicist who wants to improve their knowledge of physics' deepest truths.;Leonard Susskind | Art Friedman;Basic Books;English;Physics | Special relativity;;;
Sphereland: A Fantasy About Curved Spaces and an Expanding Universe;1965;Book;Translation of Bolland : een roman van gekromde ruimten en uitdijend heelal, a 1957 novel by Dionys Burger, and is a sequel to Flatland;"	Dionys Burger";-;Dutch | English;Geometry;Yes;;
Spreadcheat;2025;Game;SpreadCheat is a puzzle game that fuses intricate spreadsheet challenges with a comedic, 90s financial vibe in a retro Windows 3.11 setting. The Player takes on the role of the new office prodigy, solving absurd tasks and manipulating spreadsheet cells to hit specific targets using clever formulas.;-;Games People Play;Several;Spread sheets;Yes;High school;https://store.steampowered.com/app/2966550/SpreadCheat/
Sprouts;1967;Game;Topological game for two players. ;John Conway | M. S. Paterson;-;-;Geometry | Topology;Yes;All;http://www.math.utah.edu/~alfeld/Sprouts/
Spurious Correlations;2015;Book;"""Military intelligence analyst and Harvard Law student Tyler Vigen illustrates the golden rule that ""correlation does not equal causation"" through hilarious graphs inspired by his viral website.

Is there a correlation between Nic Cage films and swimming pool accidents? What about beef consumption and people getting struck by lightning? Absolutely not. But that hasn't stopped millions of people from going to tylervigen.com and asking, ""Wait, what?"" Vigen has designed software that scours enormous data sets to find unlikely statistical correlations. He began pulling the funniest ones for his website and has since gained millions of views, hundreds of thousands of likes, and tons of media coverage. Subversive and clever, Spurious Correlations is geek humor at its finest, nailing our obsession with data and conspiracy theory.""~Goodreads";Tyler Vigen;Hachette Books;English;Statistics;Yes;7–13;https://www.goodreads.com/en/book/show/23197309
Spurious Correlations;2015;Book;"""Spurious Correlations was a project I put together as a fun way to look at correlations and to think about data. Empirical research is interesting, and I love to wonder about how variables work together. The charts aren't meant to imply causation nor are they meant to create a distrust for research or even correlative data. Rather, I hope this project fosters interest in statistics and numerical research."" ~About sourious correlations";Tyler Vigen;Grand Central Publishing;English;Statistics;;All;https://www.tylervigen.com/spurious-correlations
Stand-Up Maths;2009–;YouTube;Matt Parker, lecturer, comedian and mathematician, explains various mathematical concepts and anecdotes. ;Matt Parker;;English;Programming | Varies;Yes;;https://www.youtube.com/user/standupmaths 
Star Battle;–;Puzzle;Puzzle. Stars must be placed on a grid so that they are not close to each other and at the same time fulfill certain conditions. ;-;-;-;Logic;Little;All;https://www.braingle.com/games/starbattle/
Statistics Done Wrong: The Woefully Complete Guide;2015;Book;Anecdotes about statistical errors and blunders  ;Alex Reinhart;No Starch Press;English;Statistics;Yes;10–13;https://www.amazon.com/Statistics-Done-Wrong-Woefully-Complete/dp/1593276206/ref=pd_sbs_1/138-7495430-0684424?pd_rd_w=UTKa2&pf_rd_p=3676f086-9496-4fd7-8490-77cf7f43f846&pf_rd_r=21HSKK09BNPGZ0FAWV5A&pd_rd_r=0844d361-2809-4014-84f5-c7958089069f&pd_rd_wg=N2DO9&pd_rd_i=1593276206&psc=1
Statistics for People Who (Think They) Hate Statistics;2019;Book;Bruce B. Frey teaches an often intimidating subject with a humorous, personable, and informative approach that reduces statistics anxiety. With instruction in SPSS®, the authors guide students through basic and advanced statistical procedures, from correlation and graph creation to analysis of variance, regression, non-parametric tests, and more. ;Neil J. Salkind | Bruce B. Frey;SAGE Publications Inc.;English;Statistics;;;
Statistics for the Rest of Us: Mastering the Art of Understanding Data Without Math Skills;2023;Book;"Are you intimidated by statistics? Do you struggle to make sense of the numbers and data that are so prevalent in today's world?

If so, you're not alone. Statistics can be a challenging and complex subject, but with the right guidance, you can learn the basics and understand the world through data – without the calculations. That's why I’ve created Statistics for the Rest of Us, the ultimate guide to understanding statistics without complex equations.";Albert Rutherford;A.R.B. Publications;English;Statistics;;;
Statistics Simplified - For People Who Prefer Stories Over Numbers: Learn to Make Better Decisions. Become an Informed Consumer. Debunk Popular Misbeliefs;2024;Book;"Stories stimulate our brains to enhance retention and understanding by evoking emotions. They provide context, helping us grasp complex concepts through real-life examples and establish a connection with the information.
By transforming data into narratives, we recall and thus apply insights more effectively, enhancing our ability to make more informed decisions.";Albert Rutherford | Abby Gordon;A.R.B. Publications;English;Statistics;;;
Statistrikk;2016–;Blog ;En blogg om statistikk visualisert gjennom strikking;Kathrine Frey Frøslie;-;Norwegian;Statistics;Yes;8–10;https://www.statistrikk.no/en/frontpage/
Steve Mould;2006–;YouTube;Visualisation of mathematics, chemistry and physics;Steve Mould;-;English;Misc.;Little;All;https://www.youtube.com/c/SteveMould/about
Stitches;–;Puzzle;Jigsaw puzzle. All pieces must be connected to each other with “stitches.” ;-;-;-;Logic;Little;All;https://www.puzzle-stitches.com/
Storytelling with Statistics: Master the Art of Clear and Honest Data Presentation;2025;Book;Every day, we’re bombarded with statistics—on the news, in reports, on social media. But how do you know if the data is accurate or being manipulated to push an agenda? This book helps you see through the inside works of data visualization to separate fact from fiction, question the numbers presented to you, and make informed decisions based on truth, not distortion.;Albert Rutherford;A.R.B. Publications;English;;;;
Sudoku ;n.d.;Puzzle;Logic-based, combinatorial number-placement puzzle.;Wayne Gould;William Morrow Paperbacks;Japanese;Logic;Some;All;https://sudoku.com/
Sudoku Puzzles for Gritty Kids: 300 large print beginner Sudoku puzzles including 4x4, 6x6, and 9x9’s;2022;Book;"Sudoku Puzzles for Gritty Kids contains 300 Sudoku puzzles of varying sizes and difficulties and is the perfect book to learn and explore this logic-based number placement game.
";Dan Allbaugh;-;English;Puzzles;Yes;1–3;
Summing It Up: From One Plus One to Modern Number Theory;2016;Book;We use addition on a daily basis―yet how many of us stop to truly consider the enormous and remarkable ramifications of this mathematical activity? Summing It Up uses addition as a springboard to present a fascinating and accessible look at numbers and number theory, and how we apply beautiful numerical properties to answer math problems. Mathematicians Avner Ash and Robert Gross explore addition's most basic characteristics as well as the addition of squares and other powers before moving onward to infinite series, modular forms, and issues at the forefront of current mathematical research.;Ash | Avner Gross | Robert;Princeton University Press;English;Number Theory | Arithmetics;Yes;;https://www.goodreads.com/book/show/27311901-summing-it-up
sunnivarose;2011–2020;Blog ;Rosablogg om fysikk;Sunniva Rose ;-;Norwegian;Physics;Some;8–10;https://sunnivarose.no
Superhefte U ;2014;Book;Superhefte U er en fullverdig teoribok for hele ungdomsskolen. Boken inneholder ingen oppgaver, men skal fungere som et oppslagsverk og en god hjelper på eksamen. Superhefte U inneholder oppskrifter på det aller meste av metoder for 8., 9. og 10. klasse, så vel som eksempler og mange illustrasjoner. Boken er lettlest og egner seg for foreldre så vel som for eleven selv. ~ark.no;Vibeke Gwendoline Fængsrud;House of Math;Norwegian;Misc.;Yes;8–10;https://www.ark.no/boker/Vibeke-Gwendoline-Faengsrud-Superhefte-U-9788299948371
Superstreng;2005–2008;Podcast;Norwegian popular science podcast hosted by Eirik Newth;Eirik Newth ;;Norwegian;Physics;;;https://player.fm/series/superstreng-med-eirik-newth
Surely You're Joking, Mr. Feynman! (Adventures of a Curious Character);1985;Book;One of the men behind the atomic bomb tells more about his eventful life;Richard P. Feynman | Ralph Leighton;W. W. Norton & Company;English;Physics;Yes;10–13;https://www.amazon.com/Surely-Feynman-Adventures-Curious-Character/dp/0393316041
Sushi og Kjernekraft;2015;Short film;Epos om kjernekraft;Sunniva Rose ;VGTV;Norwegian;Physics;Little;All;https://vgtv.no/video/109733/sushi-og-kjernekraft
Tall forteller;2013;Book;hvordan bruke tall til å finne ut om verden er slik du tror den er;Kathrine Frey Frøslie | Jo Røislien;Gyldendal Norsk Forlag AS;Norwegian;Statistics;Yes;All;https://www.norli.no/tall-forteller
Tall kan temmes! - hvordan forstå og bruke statistikk;2007;Book;Statistikk forklart enkelt;Jan Kristiansen;Cappelen Damm akademisk;Norwegian;Statistics;Yes;8–10;https://rantonse.no/no/about 
Tallskalle: hvordan tallene styrer livet vårt;2021;Book;Economics professors Micael Dahlen and Helge Thorbjørnsen show that numbers control us to a far greater extent than we think – and what we can do about it. ;Dahlén | Micael | Thorbjørnsen | Helge;Vigmostad & Bjørke AS;Swedish | Norwegian;Economics;Yes;;Tallskalle: hvordan tallene styrer livet vårt
Tangenten;1990–;Journal;Norwegian journal for mathematics teachers and educators. Publishes both academic, professional and popular science oriented content.;Bjørn Smestad (ed.);Caspar Forlag AS;Norwegian;Misc.;;Higher ed.;https://tangenten.no/om-tangenten/
Tapa;2007;Puzzle;Puzzle game. The numbers indicate how many squares next to each other should be coloured. ;Serkan Yürekli;-;Turkish;Logic;Little;All;https://www.theguardian.com/science/2018/feb/26/can-you-solve-it-tapa-the-puzzle-of-champions
TedTalks ;1984;Lecture;Series of lectures focused on Technology, Education and Design. The TED website has hundreds of videos, many with millions of views.;Harry Marks | Richard Saul Wurman;TED Foundation;English;Misc.;Some;All;https://www.ted.com/talks?sort=popular&topics%5B%5D=math
TedX;2010–;Lecture;Local version of Ted Talks. Volunteers can organise their own conferences under the TED brand. ;-;TED Foundation;English;Misc.;Some;All;https://www.ted.com/talks?sort=popular&topics%5B%5D=math
Teknisk Museum;1914;Museum;Masse å lære om teknologi og naturvitenskap. De tilbyr feks. undervisning I programmering eks. Super-bit. Museet har også en egen formidlingsavdeling.;Frode Meinich;Foreningen Norsk Teknisk Museum;Norwegian;Programming;Some;All;https://www.tekniskmuseum.no/om-museet
TENK før du snakker - slik når du fram med budskapet;2023;Book;Det hjelper ikke om du har noe viktig å si hvis ingen lytter. I en tid der vi bombarderes med informasjon og alt og alle kjemper om oppmerksomheten, kreves det mer enn rene fakta for å trenge gjennom støyen. Vil du nå fram med budskapet ditt, må du tenke nytt. I denne boka presenterer Jo Røislien fire kjennetegn på effektiv kommunikasjon: Tillitt, Emosjoner, Narrativer og Kreativitet. TENK. Med sin særegne fortellerstil, rik på eksempler fra populærkultur og studier fra en rekke fagfelt, forklarer han hva som faktisk skjer når mennesker kommuniserer, og hvordan vi kan utnytte dette til vår fordel. TENK før du snakker byr på et uvurderlig verktøy for alle som har et budskap å formidle. Jo Røislien er en prisvinnende vitenskapsformidler, professor i medisinsk statistikk, forfatter, programleder og populær foredragsholder.;Jo Røislien;Bonnier norsk forlag;Norwegian;Communication;Little;All;https://www.ark.no/boker/Kit-Yates-Matte-pa-liv-og-dod-9788202608675
Tents;–;Puzzle;Puzzle game. The player must place “tents” on a grid. The tents must be placed next to trees, and two tents cannot be placed next to each other. ;Simon Tatham;-;-;Logic;Little;All;https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/tents.html
